species,type,english_name
Adalia decempunctata,Ladybird,10-spot Ladybird
Coccinella undecimpunctata,Ladybird,11-spot Ladybird
Hippodamia 13-punctata,Ladybird,13-spot ladybird
Propylea quattuordecimpunctata,Ladybird,14-spot Ladybird
Tytthaspis 16-punctata,Ladybird,16-spot ladybird
Myrrha 18-guttata,Ladybird,18-spot ladybird
Psyllobora 22-punctata,Ladybird,22-spot ladybird
Subcoccinella 24-punctata,Ladybird,24-spot ladybird
Adalia bipunctata,Ladybird,2-spot Ladybird
Coccinella 5-punctata,Ladybird,5-spot ladybird
Coccinella septempunctata,Ladybird,7-spot Ladybird
Abietinaria abietina,Moth,Abietinaria abietina
Abra alba,Clam,Abra alba
Trachystemon orientalis,Angiosperm,Abraham-Isaac-Jacob
Acanthodoris pilosa,Sea slug,Acanthodoris pilosa
Acartia (Acartiura) clausi,Copepod,Acartia (Acartiura) clausi
Acartia (Acartiura) discaudata,Copepod,Acartia (Acartiura) discaudata
Semibalanus balanoides,Barnacle,Acorn Barnacle
Vipera berus,Reptile,Adder
Ophioglossum vulgatum,Fern,Adders-tongues
Adonia variegata,Ladybird,Adonis ladybird
Campanula portenschlagiana,Angiosperm,Adria Bellflower
Aegialia arenaria,Sandhopper,Aegialia arenaria
Threskiornis aethiopicus,Bird,African sacred ibis
Agabus biguttatus,Beetle,Agabus biguttatus
Agabus bipustulatus,Beetle,Agabus bipustulatus
Agabus guttatus,Beetle,Agabus guttatus
Agabus nebulosus,Beetle,Agabus nebulosus
Agabus paludosus,Beetle,Agabus paludosus
Agabus sturmii,Beetle,Agabus sturmii
Gracilaria,Alga (marine),Agaran Seaweed
Agaricus abruptibulbis,Fungus,Agaricus abrubtibulbis
Agaricus macrosporus,Fungus,Agaricus macroporus
Agaricus silvaticus,Fungus,Agaricus silvaticus
Agarophyton vermiculophyllum (previously Gracilaria vermiculophylla),Worm,Agarophyton vermiculophyllum
Aglaothamnion hookeri,Alga (marine),Aglaothamnion hookeri
Agrimonia eupatoria,Angiosperm,Agrimony
Agriotes obscurus,Beetle,Agriotes obscurus
Agromyza nana,Fly,Agromyza nana
Agyneta saxatilis,Spider,Agyneta saxatilis
Ahnfeltia plicata,Alga (marine),Ahnfeltia plicata
Lobaria scrobiculata,Lichen,Aikraw
Alcedo atthis ispida,Bird,Alcedo atthis ispida
Alchemilla filicaulis subsp. vestita,Angiosperm,Alchemilla filicaulis subsp. vestita
Frangula alnus,Tree,Alder Buckthorn
Euspira nitida,Sea snail,Alders Necklace Shell
Smyrnium olusatrum,Angiosperm,Alexanders
Porphyrio alleni,Bird,Allens Gallinule
Alosa alosa,Fish,Allis Shad
Radiola linoides,Angiosperm,Allseed
Prunella collaris,Bird,Alpine Accentor
Bartsia alpina,Angiosperm,Alpine Bartsia
Arctostaphylos alpinus,Angiosperm,Alpine Bearberry
Persicaria vivipara,Angiosperm,Alpine Bistort
Cicerbita alpina,Angiosperm,Alpine Blue-sow-thistle
Pinguicula alpina,Angiosperm,Alpine Butterwort
Lychnis alpina,Angiosperm,Alpine Catchfly
Phleum alpinum,Angiosperm,Alpine Cats-tail
Potentilla crantzii,Angiosperm,Alpine Cinquefoil
Diphasiastrum alpinum,Clubmoss,Alpine Clubmoss
Circaea alpina,Angiosperm,Alpine Enchanters-nightshade
Erigeron borealis,Angiosperm,Alpine Fleabane
Myosotis alpestris,Angiosperm,Alpine Forget-me-not
Alopecurus borealis,Angiosperm,Alpine Foxtail
Gentiana nivalis,Angiosperm,Alpine Gentian
Athyrium distentifolium,Fern,Alpine Lady-fern
Alchemilla alpina,Angiosperm,Alpine Ladys-mantle
Poa alpina,Angiosperm,Alpine Meadow-grass
Thalictrum alpinum,Angiosperm,Alpine Meadow-rue
Astragalus alpinus,Angiosperm,Alpine Milk-vetch
Cerastium alpinum,Angiosperm,Alpine Mouse-ear
Sagina saginoides,Angiosperm,Alpine Pearlwort
Thlaspi caerulescens,Angiosperm,Alpine Penny-cress
Arabis alpina,Angiosperm,Alpine Rock-cress
Juncus alpinoarticulatus,Angiosperm,Alpine Rush
Saussurea alpina,Angiosperm,Alpine Saw-wort
Saxifraga nivalis,Angiosperm,Alpine Saxifrage
Veronica alpina,Angiosperm,Alpine Speedwell
Tachymarptis melba,Bird,Alpine Swift
Epilobium anagallidifolium,Angiosperm,Alpine Willowherb
Woodsia alpina,Fern,Alpine Woodsia
Myriophyllum alterniflorum,Angiosperm,Alternate Water-milfoil
Chrysosplenium alternifolium,Angiosperm,Alternate-leaved Golden-saxifrage
Alteutha depressa,Moth,Alteutha depressa
Alteutha interrupta,Copepod,Alteutha interrupta
Amandinea punctata,Lichen,Amandinea punctata
Amanita crocea,Fungus,Amanita crocea
Amanita muscaria,Fungus,Amanitar Gwybed
Amara apricaria,Beetle,Amara apricaria
Amara familiaris,Beetle,Amara familiaris
Amara fulva,Beetle,Amara fulva
Amara tibialis,Beetle,Amara tibialis
Amaurobius similis,Spider,Amaurobius similis
Botaurus lentiginosus,Bird,American Bittern
Lithobates catesbeianus,Frog,American bullfrog
Fulica americana,Bird,American Coot
Phoenicopterus ruber,Bird,American Flamingo
Pluvialis dominica,Bird,American Golden Plover
Larus smithsonianus,Bird,American Herring Gull
Falco sparverius,Bird,American Kestrel
Homarus americanus,Lobster,American lobster
Mustela vison,Mammal,American mink
Neovison vison,Mammal,American Mink
Potamogeton epihydrus,Angiosperm,American Pondweed
Setophaga ruticilla,Bird,American Redstart
Turdus migratorius,Bird,American Robin
Mareca americana,Bird,American Wigeon
Epilobium ciliatum,Angiosperm,American Willow
Laccaria amethystea,Fungus,Amethyst deceiver
Ampelisca brevicornis,Amphipod,Ampelisca brevicornis
Persicaria amphibia,Angiosperm,Amphibious Bistort
Amphipholis squamata,Sea cucumber,Amphipholis squamata
Chelicorophium curvispinum,Amphipod,Amphipod species
Amphiura filiformis,Sea star,Amphiura filiformis
Anaptychia runcinata,Lichen,Anaptychia runcinata
Anas platyrhynchos x,Bird,Anas platyrhynchos x
Anchomenus dorsalis,Beetle,Anchomenus dorsalis
Ancistrocerus oviventris,Wasp,Ancistrocerus oviventris
Ancula gibbosa,Sea slug,Ancula gibbosa
Kontikia andersoni ,Clam,Andersons worm
Phlogophora meticulosa,Moth,Angle Shades
Polygonatum odoratum,Angiosperm,Angular Solomons-seal
Clitocybe odora,Fungus,Anise Cap
Scleranthus annuus,Angiosperm,Annual Knawel
Poa annua,Angiosperm,Annual Meadow-grass
Mercurialis annua,Angiosperm,Annual Mercury
Sagina apetala,Angiosperm,Annual Pearlwort
Suaeda maritima,Angiosperm,Annual Sea-blite
Charissa obscurata,Moth,Annulet
Anoplodactylus pygmaeus,Sea spider,Anoplodactylus pygmaeus
Anotylus maritimus,Beetle,Anotylus maritimus
Anotylus tetracarinatus,Beetle,Anotylus tetracarinatus
Anthonomus pedicularius,Beetle,Anthonomus pedicularius
Antiopella cristata,Sea slug,Antiopella cristata
Cerapteryx graminis,Moth,Antler Moth
Aphidoletes urticaria,Moth,Aphidoletes urticaria
Malus pumila,Angiosperm,Apple
Malus x domestica,Tree,Apple
Mentha spicata x suaveolens = M. x villosa,Angiosperm,Apple-mint
Nicandra physalodes,Angiosperm,Apple-of-Peru
Acrocephalus paludicola,Bird,Aquatic Warbler
Agrotis vestigialis,Moth,Archers Dart
Archiboreoiulus pallidus,Millipede,Archiboreoiulus pallidus
Rubus arcticus,Angiosperm,Arctic Bramble
Cerastium arcticum,Angiosperm,Arctic Mouse-ear
Acanthis hornemanni,Bird,Arctic Redpoll
Arenaria norvegica,Angiosperm,Arctic Sandwort
Stercorarius parasiticus,Bird,Arctic Skua
Sterna paradisaea,Bird,Arctic Tern
Phylloscopus borealis,Bird,Arctic Warbler
Arctocorisa germari,True bug,Arctocorisa germari
Ardea cinerea cinerea,Bird,Ardea cinerea cinerea
Tortella flavovirens,Moss,Arisaig Crisp-moss
Armadillidium nasatum,Isopod,Armadillidium nasatum
